,recall,recall_std,ndcg,ndcg_std,precision,precision_std,map,map_std,modelname
0,0.09576605880012518,0.000706127253594006,0.15654695247984937,0.0017002515653778906,0.14602332979851537,0.0008527633850699717,0.037728673787626905,0.0006135724283776489,degree_norm|direct|mean
1,0.022025523393177187,0.0008583007357692535,0.043419531663717086,0.0011128481066717277,0.04383174266525274,0.0013808430529957273,0.006175468116464595,0.0002834583255921409,degree_norm|direct|concat
2,0.02708865574284995,0.0018840768987244676,0.0484635293917508,0.0017675108458121878,0.0487451396253093,0.0009094860608178539,0.0075362279294629506,0.000669728844266561,degree_norm|direct|weighted
3,0.0501850858567199,0.0016847491984070839,0.07889811298207018,0.002995667824332591,0.07914457405443621,0.003409221511821701,0.014950789956242447,0.0005394753656437775,degree_norm|direct|attention
4,0.09377268761335004,0.004025854274763135,0.15368003157895385,0.006086108372477113,0.1423824673029339,0.005898169745512481,0.037762921835688995,0.001695050943395323,degree_norm|single_linear|mean
5,0.055980791495520175,0.0055980410371224976,0.09717277232518136,0.008080508407509252,0.09247083775185579,0.0071468040065723205,0.01914542413201623,0.0023644136541047253,degree_norm|single_linear|concat
6,0.09669480776805221,0.004415092935015227,0.15702644923260436,0.006619712432824909,0.14563449982325913,0.0061141111760614035,0.03841495783366557,0.0023000333894831926,degree_norm|single_linear|weighted
7,0.09280382374842293,0.004239674445753272,0.15066939377325603,0.0070131626608551795,0.1405443619653588,0.005046749606949387,0.03593339268993798,0.002713622852636275,degree_norm|single_linear|attention
8,0.08920422792644189,0.003052913862828798,0.14477364623129443,0.0025858127135201642,0.13520678685047718,0.0016587300398232716,0.03389592709757072,0.0022127474456069885,degree_norm|multi_linear|mean
9,0.05833957598735829,0.005192105596300275,0.09973409741483197,0.006592175371330228,0.09646518204312478,0.007871778482104094,0.01936001959831124,0.0016019584764735883,degree_norm|multi_linear|concat
10,0.0758920451166076,0.0005938428601263437,0.12590315856692777,0.00040816220065262104,0.11721456344998234,0.0009498076240752473,0.02823955524760029,0.0003143021197006381,degree_norm|multi_linear|weighted
11,0.09836636026431368,0.00469276720773835,0.1589763929973739,0.009038100902801523,0.14789678331565925,0.005417158974886937,0.038760742781620304,0.0034885636182333452,degree_norm|multi_linear|attention
12,0.10073043151347626,0.0014920485013856278,0.16708378685987677,0.0015358908334491112,0.15457758925415344,0.0026052351746466396,0.04052208420139766,0.0006072665542554993,attention|direct|mean
13,0.02198176947551327,0.0018654554466140977,0.03565161965652557,0.0034032660390503904,0.036762106751502294,0.0030763072070745245,0.005635742509994264,0.0006383041633595354,attention|direct|concat
14,0.08981452273591913,0.00562424036704395,0.14865837136240292,0.009089843782887004,0.1389183457051962,0.0080290960298507,0.03477813790899989,0.002903000514236148,attention|direct|weighted
15,0.10023485806852937,0.0036500324235911796,0.16725903289369534,0.002769340843765861,0.15528455284552847,0.0015399802694091118,0.039639300255816266,0.0019671129078774347,attention|direct|attention
16,0.0966289078618659,0.0029186108601709534,0.16181520298450816,0.005123358951962967,0.14916931778013431,0.003681984209261157,0.039114257504256074,0.0021212550778713654,attention|single_linear|mean
17,0.0529073489349129,0.0026765224238854747,0.0873344098904339,0.004697056410300319,0.08547189819724284,0.004866508549558328,0.016812911990031106,0.0009858585596151162,attention|single_linear|concat
18,0.08943122244945556,0.005913718734346804,0.14545831756833025,0.010175820041966668,0.13485330505478968,0.010242070219761881,0.03475008789834758,0.0023035602458232134,attention|single_linear|weighted
19,0.0964644014087666,0.0017143355882632788,0.16209448370915167,0.0025693378419993384,0.14948745139625308,0.0010402219137194732,0.03858551525798557,0.0012893039119677729,attention|single_linear|attention
20,0.08547436818860847,0.0017790446525675879,0.13802409260064172,0.001997817227860212,0.131247790738777,0.0015784456388664625,0.031041618645855338,0.001041731563333638,attention|multi_linear|mean
21,0.05085697712801537,0.002598520375019888,0.08589577698302064,0.003911179199758729,0.08296217744786144,0.004300001073838094,0.016362684629294588,0.0005526492695481978,attention|multi_linear|concat
22,0.07663241067514202,0.0014263133131327895,0.1228169975628598,0.0033863453538913466,0.1174620007069636,0.00420658188782248,0.02748541308312341,0.0004781694394637891,attention|multi_linear|weighted
23,0.09585331842445433,0.001976068119220565,0.16226731783837953,0.003271861969356644,0.14934605867797812,0.003463760883247465,0.03881201345959313,0.0011303592556005844,attention|multi_linear|attention
